Afghanistan,2.68
Aland Islands,2.68
Albania,2.27
Algeria,1.36
American Samoa,2.68
Andorra,2.37
Angola,2.68
Anguilla,2.68
Antarctica,2.68
Antigua and Barbuda,2.16
Argentina,2.11
Armenia,2.46
Aruba,2.68
Australia,2.56
Austria,3.01
Azerbaijan,2.16
Bahamas,2.24
Bahrain,2.34
Bangladesh,1.62
Barbados,2.68
Belarus,2.59
Belgium,3.6
Belize,1.7
Benin,2.08
Bermuda,2.68
Bhutan,2.05
Bolivia,2.01
Bonaire Sint Eustatius and Saba,2.68
Bosnia and Herzegovina,2.77
Botswana,1.67
Bouvet Island,2.68
Brazil,2
British Indian Ocean Territory,2.68
Brunei Darussalam,1.84
Bulgaria,3.52
Burkina Faso,1.75
Burundi,2.68
Cambodia,2.14
Cameroon,2.05
Canada,2.76
Cape Verde,1.37
Cayman Islands,2.68
Central African Republic,2.68
Chad,2.68
Chile,2.25
China,2.44
Christmas Island,2.68
Cocos (Keeling) Islands,2.68
Colombia,1.99
Comoros,2.68
Congo,1.65
Congo the Democratic Republic of the,1.65
Cook Islands,2.68
Costa Rica,1.96
C??te d'Ivoire,2.68
Croatia,3.15
Cuba,2.68
Curacao,2.68
Cyprus,2.58
Czechia,3.19
Denmark,3.18
Djibouti,2.68
Dominica,2.68
Dominican Republic,1.85
Ecuador,1.87
Egypt,1.43
El Salvador,1.81
Equatorial Guinea,2.68
Eritrea,2.68
Estonia,3.26
Ethiopia,2.06
Falkland Islands (Malvinas),2.68
Faroe Islands,2.68
Fiji,1.65
Finland,3.64
France,2.7
French Guiana,2.68
French Polynesia,2.68
French Southern Territories,2.68
Gabon,2.68
Gambia,2.68
Georgia,2.85
Germany,1.99
Ghana,2.04
Gibraltar,2.68
Greece,3.14
Greenland,2.68
Grenada,2.68
Guadeloupe,2.68
Guam,2.68
Guatemala,1.46
Guernsey,2.68
Guinea,1.89
Guinea-Bissau,2.68
Guyana,1.69
Haiti,1.99
Heard Island and McDonald Islands,2.68
Holy See (Vatican City State),2.68
Honduras,1.66
China Hong Kong,2.75
Hungary,3.09
Iceland,2.68
India,1.73
Indonesia,2.02
Iran,1.53
Iraq,1.79
Ireland,2.27
Isle of Man,2.68
Israel,2.09
Italy,4.18
Jamaica,1.91
Japan,4.13
Jersey,2.68
Jordan,1.21
Kazakhstan,2.26
Kenya,1.66
Kiribati,1.47
North Korea,2.68
Kosovo,2.68
Korea,2.68
Kuwait,2.3
Kyrgyzstan,1.74
Lao People's Democratic Republic,1.6
Latvia,3.13
Lebanon,1.72
Lesotho,1.82
Liberia,1.64
Libya,2.68
Liechtenstein,2.68
Lithuania,2.73
Luxembourg,3.79
China Macao,2.68
Macedonia,2.47
Madagascar,2.68
Malawi,2.68
Malaysia,2
Maldives,1.73
Mali,2.68
Malta,3.08
Marshall Islands,2.68
Martinique,2.68
Mauritania,1.39
Mauritius,2.1
Mayotte,2.68
Mexico,1.8
Micronesia,2.68
Moldova,2.68
Monaco,6.95
Mongolia,1.79
Montenegro,2.48
Montserrat,2.68
Morocco,1.66
Mozambique,1.88
Myanmar,2.68
Namibia,1.96
Nauru,2.68
Nepal,2.18
Netherlands,3.44
New Caledonia,2.68
New Zealand,2.71
Nicaragua,1.64
Niger,1.5
Nigeria,1.69
Niue,2.68
Norfolk Island,2.68
Northern Mariana Islands,2.68
Norway,2.68
Oman,1.97
Pakistan,1.36
Palau,2.68
Palestine State of,2.68
Panama,1.82
Papua New Guinea,2.68
Paraguay,1.89
Peru,2.13
Philippines,1.85
Pitcairn,2.68
Poland,3.99
Portugal,3.11
Puerto Rico,2.68
Qatar,3.13
Reunion,2.68
Romania,2.7
Russian Federation,2.72
Rwanda,2.06
Saint Barth??lemy,2.68
Saint Helena Ascension and Tristan da Cunha,2.68
Saint Kitts and Nevis,2.68
Saint Lucia,1.89
Saint Martin (French part),2.68
Saint Pierre and Miquelon,2.68
Saint Vincent and the Grenadines,2.68
Samoa,1.08
San Marino,2.68
Sao Tome and Principe,1
Saudi Arabia,1.74
Senegal,1.45
Serbia,3.36
Seychelles,2.15
Sierra Leone,1.93
Singapore,2.68
Sint Maarten (Dutch part),2.68
Slovakia,2.68
Slovenia,2.9
Solomon Islands,1.53
Somalia,2.68
South Africa,1.76
South Georgia and the South Sandwich Islands,2.68
South Sudan,2.68
Spain,2.79
Sri Lanka,1.75
Sudan,2.68
Suriname,1.95
Svalbard and Jan Mayen,2.68
Swaziland,2.68
Sweden,3.21
Switzerland,3.05
Syrian Arab Republic,1.32
China Taiwan,2.32
Tajikistan,1.58
Tanzania,2.1
Thailand,2.54
Timor-Leste,1.39
Togo,2.68
Tokelau,2.68
Tonga,1.27
Trinidad and Tobago,2.68
Tunisia,1.57
Turkey,1.71
Turkmenistan,2.68
Turks and Caicos Islands,2.68
Tuvalu,2.68
Uganda,2.04
Ukraine,3.04
United Arab Emirates,2.62
United Kingdom,2.04
United States,2.47
United States Minor Outlying Islands,2.47
Uruguay,2.41
Uzbekistan,1.22
Vanuatu,1.75
Venezuela,1.96
Viet Nam,2.41
Virgin Islands British,2.68
Virgin Islands U.S.,2.68
Wallis and Futuna,2.68
Western Sahara,2.68
Yemen,1.06
Zambia,1.91
Zimbabwe,1.72
