FM858,2020-01-10 05:00:00,HKT,PVG
UA835,2020-01-10 14:50:00,ORD,PVG
NX897,2020-01-10 02:00:00,HAN,MFM
NX875,2020-01-10 01:45:00,DAD,MFM
AQ1026,2020-01-10 01:20:00,HAK,CAN
MU735,2020-01-10 10:35:00,PVG,SYD
CX105,2020-01-10 09:10:00,HKG,MEL
CA970,2020-01-10 06:20:00,SIN,PEK
HU6021,2020-01-10 01:35:00,SYX,CAN
Z2808,2020-01-10 02:40:00,MNL,SZX
MU553,2020-01-10 12:30:00,PVG,CDG
CZ633,2020-01-10 11:30:00,CAN,NBO
ID7625,2020-01-10 05:30:00,TPE,CGK
CA824,2020-01-10 04:20:00,CNX,PEK
K6861,2020-01-10 04:30:00,PVG,REP
CX261,2020-01-10 13:10:00,HKG,CDG
FD576,2020-01-10 02:55:00,CEI,SZX
CX170,2020-01-10 07:45:00,PER,HKG
ET607,2020-01-10 11:00:00,CAN,ADD
AY85,2020-01-10 07:50:00,HEL,PEK
MU779,2020-01-10 11:25:00,PVG,AKL
VJ5379,2020-01-10 03:35:00,WUH,CXR
ET605,2020-01-10 12:15:00,PEK,ADD
SQ825,2020-01-10 06:00:00,PVG,SIN
CA872,2020-01-10 06:35:00,KUL,PEK
DZ6239,2020-01-10 01:40:00,SZX,KHN
LH720,2020-01-10 09:30:00,FRA,PEK
SQ801,2020-01-10 06:45:00,PEK,SIN
IT216,2020-01-10 03:00:00,TPE,HND
CX795,2020-01-10 14:45:00,HKG,CPT
LH727,2020-01-10 12:10:00,PVG,MUC
MU219,2020-01-10 12:45:00,PVG,FRA
CA975,2020-01-10 06:50:00,PEK,SIN
CZ307,2020-01-10 12:55:00,CAN,AMS
VJ5337,2020-01-10 03:40:00,KWE,CXR
FD809,2020-01-10 04:40:00,WUH,HKT
KL895,2020-01-10 10:50:00,AMS,PVG
EK363,2020-01-10 09:15:00,CAN,DXB
CX880,2020-01-10 12:35:00,HKG,LAX
D7307,2020-01-10 05:25:00,HGH,KUL
BA39,2020-01-10 10:25:00,LHR,PKX
Q2379,2020-01-10 04:35:00,HGH,BKK
CA809,2020-01-10 05:30:00,PEK,BKK
VZ3705,2020-01-10 02:35:00,HAK,BKK
5J371,2020-01-10 02:15:00,MFM,CRK
AF111,2020-01-10 12:55:00,PVG,CDG
AK1531,2020-01-10 03:35:00,CAN,BKI
9C9901,2020-01-10 02:40:00,TSN,LHW
LX139,2020-01-10 13:10:00,HKG,ZRH
MF892,2020-01-10 05:30:00,DPS,XMN
HU6176,2020-01-10 01:50:00,SYX,SZX
GJ8002,2020-01-10 01:50:00,UYN,PEK
KL808,2020-01-10 13:40:00,TPE,AMS
CX321,2020-01-10 13:55:00,HKG,BCN
CZ347,2020-01-10 13:40:00,CAN,CDG
KC267,2020-01-10 04:55:00,ALA,PEK
MU514,2020-01-10 04:10:00,REP,PVG
MU739,2020-01-10 11:05:00,PVG,MEL
UL867,2020-01-10 07:40:00,PVG,CMB
CX293,2020-01-10 13:35:00,HKG,FCO
8M809,2020-01-10 05:05:00,NKG,RGN
MU544,2020-01-10 05:50:00,SIN,PVG
TR172,2020-01-10 06:20:00,SIN,TNA
GA801,2020-01-10 07:35:00,CGO,DPS
TW118,2020-01-10 04:00:00,HKG,ICN
LQ909,2020-01-10 03:10:00,CAN,PNH
SL923,2020-01-10 04:40:00,NKG,DMK
W577,2020-01-10 08:45:00,IKA,PVG
CA792,2020-01-10 05:45:00,TSE,PEK
FD328,2020-01-10 02:35:00,CNX,SYX
6E7303,2020-01-10 04:55:00,DEL,CTU
CZ305,2020-01-10 11:30:00,CAN,AKL
D7347,2020-01-10 06:10:00,XIY,KUL
TR875,2020-01-10 05:15:00,TPE,SIN
OD689,2020-01-10 06:00:00,TSN,BKI
CX343,2020-01-10 13:25:00,HKG,LGW
CZ6053,2020-01-10 04:10:00,CAN,HKT
G54855,2020-01-10 02:40:00,CKG,LPQ
CX749,2020-01-10 13:30:00,HKG,JNB
U6764,2020-01-10 07:30:00,XIY,SVX
KL897,2020-01-10 09:55:00,AMS,PEK
CZ345,2020-01-10 11:40:00,PEK,AMS
CZ626,2020-01-10 05:35:00,DPS,CAN
TR185,2020-01-10 06:15:00,NKG,SIN
LH780,2020-01-10 11:25:00,FRA,NKG
TR125,2020-01-10 05:00:00,CSX,SIN
MU771,2020-01-10 12:55:00,PVG,AMS
SU220,2020-01-10 10:10:00,SVO,CAN
JT2631,2020-01-10 08:10:00,DPS,TNA
