Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.9383,1.23535,0.50146,0.29758,0.46464,0.9887,1.01713,0.923,0.57021,0.31632,0.4557,0.741,0.69076,0.41762,0.12679,0.13746,
5 to 9,1.33746,8.24425,2.71214,0.63684,0.34115,0.47831,1.17949,1.32099,0.92322,0.57175,0.52752,0.80015,0.65303,0.59399,0.34006,0.18442,
10 to 14,0.73071,1.68873,10.19089,3.15303,0.4209,0.24962,0.87744,1.16909,1.08898,0.66157,0.69042,0.51814,0.39893,0.4684,0.26574,0.25369,
15 to 19,0.4611,0.5392,1.16183,7.61948,2.28416,0.73459,0.39201,0.6466,0.85605,0.88268,0.74759,0.60713,0.40587,0.24284,0.22094,0.20588,
20 to 24,0.75732,0.32584,0.51283,1.49629,3.59342,2.16954,1.10674,0.70351,0.83129,0.77834,0.85005,0.66636,0.41894,0.2592,0.06674,0.07353,
25 to 29,1.11051,0.80904,0.45105,0.7373,1.90431,3.17236,2.0011,1.38137,1.11408,0.87592,1.12709,1.05477,0.67108,0.34332,0.13962,0.06994,
30 to 34,1.20744,1.10522,0.68071,0.51031,1.21778,2.07205,2.66888,1.8391,1.55301,1.08291,1.08684,1.18833,0.78828,0.5008,0.13114,0.1096,
35 to 39,1.01134,1.09134,0.93534,0.77204,0.99755,1.5443,2.08555,2.49946,1.75465,1.26428,1.04308,0.91598,0.82495,0.46758,0.22821,0.16536,
40 to 44,0.67565,0.92491,1.04201,0.92734,0.90952,1.25974,1.55639,2.05366,2.14686,1.338,1.3838,1.01291,0.71275,0.4383,0.23285,0.16104,
45 to 49,0.45764,0.45827,0.63893,0.83631,1.04862,1.09719,1.22032,1.34273,1.54477,1.42279,1.46044,0.87577,0.61366,0.24069,0.17585,0.16032,
50 to 54,0.55233,0.34764,0.39553,0.44774,0.72531,1.05652,1.03322,1.00006,1.09917,1.00938,1.24203,1.03646,0.58205,0.27405,0.13788,0.15671,
55 to 59,0.50937,0.37704,0.24785,0.21196,0.448,0.59289,0.78685,0.61845,0.45401,0.50639,0.78511,0.85133,0.62143,0.2854,0.103,0.09102,
60 to 64,0.37204,0.36564,0.19437,0.15047,0.20258,0.29494,0.42333,0.4682,0.34604,0.24312,0.3253,0.47562,0.42126,0.27778,0.16948,0.06872,
65 to 69,0.28812,0.24968,0.19569,0.11715,0.09754,0.12399,0.19492,0.27309,0.18917,0.11298,0.1161,0.18831,0.24894,0.24841,0.14814,0.10019,
70 to 74,0.19062,0.13331,0.15373,0.07474,0.10583,0.06631,0.10533,0.1661,0.12909,0.09883,0.08448,0.09149,0.14765,0.13545,0.14662,0.0898,
75+,0.09594,0.09672,0.12371,0.05048,0.08608,0.0391,0.0911,0.06593,0.06078,0.08598,0.06921,0.06213,0.05974,0.06243,0.07575,0.05924,
